Country,State,Year,Total Registered Motor Vehicles (UOM:Number),Percentage Share (UOM:%(Percentage)),Vehicle Class,Category Of Vehicle,Production Of Motor Vehicles (UOM:Number),Year
India,Punjab,"Financial Year (Apr - Mar), 2017",9680976,3.55,Two-Wheelers,Scooters,935279,"Financial Year (Apr - Mar), 2003"
India,Tripura,"Financial Year (Apr - Mar), 2016",382687,0.15,Two Wheelers,Scooters,2144765,"Financial Year (Apr - Mar), 2010"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015",111129,0.05,Three Wheelers,Three Wheelers,949021,"Financial Year (Apr - Mar), 2014"
India,Ladakh,"Financial Year (Apr - Mar), 2017",36619.31097,0.61,Two-Wheelers,Scooters,879759,"Financial Year (Apr - Mar), 2000"
India,Mizoram,"Financial Year (Apr - Mar), 2018",233567,0.08,Two Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2017"
India,Delhi,"Financial Year (Apr - Mar), 2015",9704741,4.22,Two Wheelers,Scooters,6026741,"Financial Year (Apr - Mar), 2019"
,,,,,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2011"
,,,,,Commercial Vehicles,Light Commercial Vehicles (LCVs),254049,"Financial Year (Apr - Mar), 2007"
,,,,,Two-Wheelers,Motor Cycles,5193894,"Financial Year (Apr - Mar), 2004"
,,,,,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),344592,"Financial Year (Apr - Mar), 2017"
,,,,,Three-Wheelers,Three Wheelers,212748,"Financial Year (Apr - Mar), 2001"
,,,,,Two-Wheelers,Scooters,1021013,"Financial Year (Apr - Mar), 2005"
,,,,,Passenger Vehicles,Passenger Cars (includes Vans),1238021,"Financial Year (Apr - Mar), 2006"
,,,,,Passenger Vehicles,Passenger Cars,1772972,"Financial Year (Apr - Mar), 2020"
,,,,,Commercial Vehicles,LCVs (Light Commercial Vehicles),544335,"Financial Year (Apr - Mar), 2011"
,,,,,Two-Wheelers,Motor Cycles,6207690,"Financial Year (Apr - Mar), 2005"
,,,,,Commercial Vehicles,LCVs (Light Commercial Vehicles),443697,"Financial Year (Apr - Mar), 2020"
,,,,,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),444356,"Financial Year (Apr - Mar), 2018"
,,,,,Quadricycle,Quadricycle,3836,"Financial Year (Apr - Mar), 2020"
,,,,,Passenger Vehicles,Utility Vehicles,564928,"Financial Year (Apr - Mar), 2012"
,,,,,Two-Wheelers,Electric Two Wheelers,0,"Financial Year (Apr - Mar), 2001"
,,,,,Two Wheelers,Mopeds,636218,"Financial Year (Apr - Mar), 2020"
,,,,,Passenger Vehicles,Multi-Utility Vehicles,249389,"Financial Year (Apr - Mar), 2004"
,,,,,Two Wheelers,Motorcycles,12816203,"Financial Year (Apr - Mar), 2015"
,,,,,Commercial Vehicles,Medium & Heavy Commercial Vehicles (M & HCVs),214807,"Financial Year (Apr - Mar), 2004"
,,,,,Passenger Vehicles,Vans,174055,"Financial Year (Apr - Mar), 2014"
,,,,,Two Wheelers,Motorcycles,13154501,"Financial Year (Apr - Mar), 2020"
,,,,,Passenger Vehicles,Utility Vehicles,1099780,"Financial Year (Apr - Mar), 2018"
,,,,,Two Wheelers,Motorcycles,14356051,"Financial Year (Apr - Mar), 2019"
,,,,,Passenger Vehicles,Vans,237954,"Financial Year (Apr - Mar), 2011"
,,,,,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2007"
,,,,,Commercial Vehicles,LCVs (Light Commercial Vehicles),524311,"Financial Year (Apr - Mar), 2019"
,,,,,Two Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2018"
