Country,State,Year,Total Registered Motor Vehicles (UOM:Number),Percentage Share (UOM:%(Percentage)),Vehicle Class,Category Of Vehicle,Production Of Motor Vehicles (UOM:Number),Year
India,Gujarat,"Financial Year (Apr - Mar), 2016",22036539,8.7,Passenger Vehicles,Utility Vehicles,629255,"Financial Year (Apr - Mar), 2014"
India,Assam,"Financial Year (Apr - Mar), 2016",3028665,1.2,Passenger Vehicles,Passenger Cars,2453113,"Financial Year (Apr - Mar), 2010"
India,Meghalaya,"Financial Year (Apr - Mar), 2019",365804,0.11,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),341287,"Financial Year (Apr - Mar), 2015"
India,Kerala,"Financial Year (Apr - Mar), 2016",11303025,4.46,Commercial Vehicles,LCVs (Light Commercial Vehicles),428530,"Financial Year (Apr - Mar), 2014"
India,Lakshadweep,"Financial Year (Apr - Mar), 2015",16008,0.01,Commercial Vehicles,Light Commercial Vehicles (LCVs),65756,"Financial Year (Apr - Mar), 2001"
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2018",1813094.095,0.63,Commercial Vehicles,Light Commercial Vehicles (LCVs),171788,"Financial Year (Apr - Mar), 2005"
India,Goa,"Financial Year (Apr - Mar), 2019",1457752,0.45,Two Wheelers,Motorcycles,10527111,"Financial Year (Apr - Mar), 2010"
India,Haryana,"Financial Year (Apr - Mar), 2015",8632956,3.75,Two-Wheelers,Scooters,987498,"Financial Year (Apr - Mar), 2004"
India,Rajasthan,"Financial Year (Apr - Mar), 2017",16280006,5.97,Two Wheelers,Motorcycles,13088208,"Financial Year (Apr - Mar), 2016"
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",5242032,2.07,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2012"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2017",131139,0.05,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2010"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2015",8727558,3.79,Passenger Vehicles,Passenger Cars,2156868,"Financial Year (Apr - Mar), 2019"
